"","rownames","bia_di","bii_di","bit_di","che_de","che_di","elb_di","wri_di","kne_di","ank_di","sho_gi","che_gi","wai_gi","nav_gi","hip_gi","thi_gi","bic_gi","for_gi","kne_gi","cal_gi","ank_gi","wri_gi","age","wgt","hgt","AgeGroup","Sex"
"1",248,37.6,25,31.3,16.2,24.9,11.2,9.2,17,12.3,95,83,66.5,79,92,53.5,24.3,20.5,32,32.2,21,13.5,22,51.6,161.2,"20-29","Female"
"2",249,36.7,26.4,31,16.8,24.5,12.1,9.9,19.3,12.8,99.5,78.5,61.5,70.5,90.5,57.7,27.8,24,38.5,38.5,22.5,15,20,59,167.5,"20-29","Female"
"3",250,34.8,25.9,30.2,16.4,24.2,11.3,8.9,17,12.2,88,75,61.2,66.5,91,53,24,22,32.5,32.5,19,14,19,49.2,159.5,"18-19","Female"
"4",251,36.6,27.9,31.8,19.3,24.9,12.3,9.5,18.6,13,97,86.5,78,91,99.5,61.5,28,24,35.2,36.7,23,15,25,63,157,"20-29","Female"
"5",252,35.5,28.2,31,18.2,26.2,11.5,9.1,17.2,12.4,103.3,91,70.5,80.5,91.5,55,26.9,22.7,33,33.3,19.9,14.5,21,53.6,155.8,"20-29","Female"
"6",253,37,28,32,15.1,25.7,12.5,10,17.2,13.2,93.5,79.5,66.5,78.5,94,54,26.5,22.5,34,35,23,14.5,23,59,170,"20-29","Female"
"7",254,35.5,26.5,29.2,15.4,24.5,12.3,9.4,17.2,12,93.3,77,58,64,85.5,49.5,24.1,22,32.5,32,19,13.9,26,47.6,159.1,"20-29","Female"
"8",255,37.4,30.2,33.2,18.8,26.6,13.3,10.7,19.8,13.8,94.5,88,74.5,87,104,64,29.2,26.2,38.5,38,22,16.8,22,69.8,166,"20-29","Female"
"9",256,37.8,29,32.6,18.6,25,12.1,9.8,17.8,12.7,98.6,85,73.5,92,104.1,65.3,29,23.4,35.3,37.4,21.6,15.2,28,66.8,176.2,"20-29","Female"
"10",257,38.6,28.8,33.2,19.7,29.4,13.4,11.5,20.9,13.2,115.5,98.8,90.5,103.5,108.1,61.1,33.6,26.6,37.2,35.8,22.6,16.3,40,75.2,160.2,"40-49","Female"
"11",258,37.6,28.5,32.2,15.5,24.3,11.8,8.6,17.1,11.9,97.9,79,66.5,74,90.3,52,24.8,21,32.2,32.5,19.9,13.8,32,55.2,172.5,"30-39","Female"
"12",259,36,25.6,31.5,15.4,25.5,12.8,9.7,17.6,13.2,97.7,77.6,61,71.8,91.6,53,25.4,22.6,34,34.5,20.5,15.3,25,54.2,170.9,"20-29","Female"
"13",260,39.5,30,31.7,17.3,27.3,12.8,9.2,18.1,12.4,100.5,85,69.5,81.5,94.4,55.8,25.9,22.9,36.1,35.3,20.9,14.4,25,62.5,172.9,"20-29","Female"
