"","rownames","bia_di","bii_di","bit_di","che_de","che_di","elb_di","wri_di","kne_di","ank_di","sho_gi","che_gi","wai_gi","nav_gi","hip_gi","thi_gi","bic_gi","for_gi","kne_gi","cal_gi","ank_gi","wri_gi","age","wgt","hgt","AgeGroup","Sex"
"1",1,42.9,26,31.5,17.7,28,13.1,10.4,18.8,14.1,106.2,89.5,71.5,74.5,93.5,51.5,32.5,26,34.5,36.5,23.5,16.5,21,65.6,174,"20-29","Male"
"2",2,43.7,28.5,33.5,16.9,30.8,14,11.8,20.6,15.1,110.5,97,79,86.5,94.8,51.5,34.4,28,36.5,37.5,24.5,17,23,71.8,175.3,"20-29","Male"
"3",3,40.1,28.2,33.3,20.9,31.7,13.9,10.9,19.7,14.1,115.1,97.5,83.2,82.9,95,57.3,33.4,28.8,37,37.3,21.9,16.9,28,80.7,193.5,"20-29","Male"
"4",4,44.3,29.9,34,18.4,28.2,13.9,11.2,20.9,15,104.5,97,77.8,78.8,94,53,31,26.2,37,34.8,23,16.6,23,72.6,186.5,"20-29","Male"
"5",5,42.5,29.9,34,21.5,29.4,15.2,11.6,20.7,14.9,107.5,97.5,80,82.5,98.5,55.4,32,28.4,37.7,38.6,24.4,18,22,78.8,187.2,"20-29","Male"
"6",6,43.3,27,31.5,19.6,31.3,14,11.5,18.8,13.9,119.8,99.9,82.5,80.1,95.3,57.5,33,28,36.6,36.1,23.5,16.9,21,74.8,181.5,"20-29","Male"
"7",7,43.5,30,34,21.9,31.7,16.1,12.5,20.8,15.6,123.5,106.9,82,84,101,60.9,42.4,32.3,40.1,40.3,23.6,18.8,26,86.4,184,"20-29","Male"
"8",8,44.4,29.8,33.2,21.8,28.8,15.1,11.9,21,14.6,120.4,102.5,76.8,80.5,98,56,34.1,28,39.2,36.7,22.5,18,27,78.4,184.5,"20-29","Male"
"9",9,43.5,26.5,32.1,15.5,27.5,14.1,11.2,18.9,13.2,111,91,68.5,69,89.5,50,33,26,35.5,35,22,16.5,23,62,175,"20-29","Male"
"10",10,42,28,34,22.5,28,15.6,12,21.1,15,119.5,93.5,77.5,81.5,99.8,59.8,36.5,29.2,38.3,38.6,22.2,16.9,21,81.6,184,"20-29","Male"
"11",11,40.3,29,33,20.1,30.3,13.4,10.4,19.4,14.5,117.1,97.7,81.9,81,98.4,60.5,34.6,27.9,38.9,40.1,23.2,16.2,23,76.6,180,"20-29","Male"
"12",12,43.7,29,31.3,20.5,29.7,15,11.7,20.9,16,123.5,99.5,82.6,82.5,95,58.5,38.5,30.4,39,38.4,24.3,18.2,22,83.6,177.8,"20-29","Male"
"13",13,47.4,29.6,35.7,20.8,31.4,16.1,11.3,21.5,15.4,116.5,103,85,94.5,103,59,33.5,29,40.5,40,26,18,20,90,192,"20-29","Male"
"14",14,40.3,27.5,31.4,21.7,28,13.3,10.3,18.8,13.2,113,99.6,85.6,89.2,98,59.1,35.6,29,35.8,36,21.5,16.6,26,74.6,176,"20-29","Male"
"15",15,41,26.8,32.2,21.9,28.6,14.9,10.6,17.8,14,107.5,101.5,78,89.5,95,57,36,29,34.5,35,22,16.5,23,71,174,"20-29","Male"
"16",16,45,27,33.2,21.7,30.6,13.7,11.1,20.7,14,112,104.1,82,84,97,56,34.5,29.5,39,35.7,24,17.5,22,79.6,184,"20-29","Male"
"17",17,39.9,30,34.5,21,29.4,15.6,11.9,21.2,16,112.2,100,88.3,93.5,105,65.8,37,28.8,40.9,41.7,24.2,17.8,30,93.8,192.7,"30-39","Male"
"18",18,43,26.5,30.3,19.3,30,14.8,11.2,19.7,14.7,120,93.8,73.6,74.9,90.1,54.1,31.2,26.9,36.4,35.6,22,17.1,22,70,171.5,"20-29","Male"
"19",19,43.1,28.6,33.4,22.2,29.5,14.9,12.2,20.8,14.8,109,98.5,78.5,86,94.5,55,34.5,28.5,38,36.5,23,18.5,29,72.4,173,"20-29","Male"
"20",20,43.6,29.3,34.4,20.2,32.6,15.4,10.9,20.7,15.5,118.5,104,87.3,88,101.1,59.5,37,30.5,39.8,42,26.5,18.8,22,85.9,176,"20-29","Male"
"21",21,42,27.5,30.7,21.3,32,13.1,11.1,19.2,13.9,116,100,92,91,98,57.5,32,27.6,37.5,35.2,21,17.3,22,78.8,176,"20-29","Male"
"22",22,43.8,28,33.3,20,32,15,11.5,20.4,14.4,111,100,80,83.7,99.5,57,37,30,37.5,35.5,23,18,20,77.8,180.5,"20-29","Male"
