"Systolic120","AgeGroup","Sex","EstimatedCount","WithinGroupPercent"
"HealthSystolic","10s","Female",19359890.291128,0.938180796668318
"HighSystolic","10s","Female",1275674.154317,0.0618192033316824
"HealthSystolic","20s","Female",17919305.308161,0.902032836475109
"HighSystolic","20s","Female",1946163.64548,0.0979671635248913
"HealthSystolic","30s","Female",18002090.791499,0.849273605898445
"HighSystolic","30s","Female",3194954.149577,0.150726394101555
"HealthSystolic","40s","Female",13319509.434462,0.703506139699775
"HighSystolic","40s","Female",5613529.927705,0.296493860300225
"HealthSystolic","50s","Female",10729387.023098,0.505431864026239
"HighSystolic","50s","Female",10498770.097089,0.494568135973761
"HealthSystolic","60s","Female",7940752.183696,0.390115597071208
"HighSystolic","60s","Female",12414117.612106,0.609884402928792
"HealthSystolic","70+","Female",5146195.394907,0.261998473945901
"HighSystolic","70+","Female",14495886.169162,0.738001526054099
"HealthSystolic","U10","Female",3339184.275048,0.987133620935928
"HighSystolic","U10","Female",43523.196593,0.0128663790640715
"HealthSystolic","10s","Male",17064101.675828,0.820833689063335
"HighSystolic","10s","Male",3724642.625469,0.179166310936665
"HealthSystolic","20s","Male",11132743.751913,0.550094375827428
"HighSystolic","20s","Male",9105135.857686,0.449905624172572
"HealthSystolic","30s","Male",11259495.03047,0.524532276490517
"HighSystolic","30s","Male",10206286.076088,0.475467723509483
"HealthSystolic","40s","Male",8711928.311029,0.455266172288724
"HighSystolic","40s","Male",10423972.490105,0.544733827711276
"HealthSystolic","50s","Male",6678540.07218,0.323432170797274
"HighSystolic","50s","Male",13970426.46605,0.676567829202726
"HealthSystolic","60s","Male",5757906.033724,0.307332914029282
"HighSystolic","60s","Male",12977171.697571,0.692667085970718
"HealthSystolic","70+","Male",5021834.516358,0.323405014392632
"HighSystolic","70+","Male",10506169.976056,0.676594985607368
"HealthSystolic","U10","Male",4589148.556011,0.956259929427538
"HighSystolic","U10","Male",209911.212977,0.0437400705724624
