"ID","SiteID","ObservationTimeUTC","Value","Month","Year","SiteName"
673003,"36005NY12387","1/1/2025 8:00:00 AM",12.84,"Jan","2025","Cross Bronx Expy"
673025,"36005NY12387","1/1/2025 9:00:00 AM",16.97,"Jan","2025","Cross Bronx Expy"
673026,"36061NY08454","1/1/2025 9:00:00 AM",12.48,"Jan","2025","Manhattan Bridge"
673028,"36005NY11534","1/1/2025 9:00:00 AM",14.26,"Jan","2025","Mott Haven"
673047,"36005NY12387","1/1/2025 10:00:00 AM",16.3,"Jan","2025","Cross Bronx Expy"
673048,"36061NY08454","1/1/2025 10:00:00 AM",14.85,"Jan","2025","Manhattan Bridge"
673050,"36005NY11534","1/1/2025 10:00:00 AM",16.17,"Jan","2025","Mott Haven"
673069,"36005NY12387","1/1/2025 11:00:00 AM",13.45,"Jan","2025","Cross Bronx Expy"
673070,"36061NY08454","1/1/2025 11:00:00 AM",12.74,"Jan","2025","Manhattan Bridge"
673072,"36005NY11534","1/1/2025 11:00:00 AM",12.31,"Jan","2025","Mott Haven"
674269,"36061NY09734","1/3/2025 5:00:00 PM",19.21,"Jan","2025","Broadway/35th St"
674291,"36061NY09734","1/3/2025 6:00:00 PM",14.82,"Jan","2025","Broadway/35th St"
675844,"36061NY08653","1/6/2025 5:00:00 PM",12.09,"Jan","2025","FDR"
675866,"36061NY08653","1/6/2025 6:00:00 PM",14.27,"Jan","2025","FDR"
677833,"36061NY08454","1/10/2025 12:00:00 PM",12.42,"Jan","2025","Manhattan Bridge"
678414,"36061NY08653","1/11/2025 3:00:00 PM",12.3,"Jan","2025","FDR"
678978,"36061NY08454","1/12/2025 6:00:00 PM",12.39,"Jan","2025","Manhattan Bridge"
678998,"36005NY12387","1/12/2025 7:00:00 PM",13.42,"Jan","2025","Cross Bronx Expy"
678999,"36061NY08454","1/12/2025 7:00:00 PM",13.45,"Jan","2025","Manhattan Bridge"
679019,"36005NY12387","1/12/2025 8:00:00 PM",12.95,"Jan","2025","Cross Bronx Expy"
679020,"36061NY08454","1/12/2025 8:00:00 PM",12.82,"Jan","2025","Manhattan Bridge"
679022,"36005NY11534","1/12/2025 8:00:00 PM",12.28,"Jan","2025","Mott Haven"
679040,"36005NY12387","1/12/2025 9:00:00 PM",12.8,"Jan","2025","Cross Bronx Expy"
679041,"36061NY08454","1/12/2025 9:00:00 PM",12.38,"Jan","2025","Manhattan Bridge"
679043,"36005NY11534","1/12/2025 9:00:00 PM",12.06,"Jan","2025","Mott Haven"
679061,"36005NY12387","1/12/2025 10:00:00 PM",14.11,"Jan","2025","Cross Bronx Expy"
679062,"36061NY08454","1/12/2025 10:00:00 PM",13.14,"Jan","2025","Manhattan Bridge"
679063,"36061NY09734","1/12/2025 10:00:00 PM",12.02,"Jan","2025","Broadway/35th St"
679064,"36005NY11534","1/12/2025 10:00:00 PM",12.98,"Jan","2025","Mott Haven"
679082,"36005NY12387","1/12/2025 11:00:00 PM",14.24,"Jan","2025","Cross Bronx Expy"
679083,"36061NY08454","1/12/2025 11:00:00 PM",13.21,"Jan","2025","Manhattan Bridge"
679084,"36061NY09734","1/12/2025 11:00:00 PM",13.91,"Jan","2025","Broadway/35th St"
679085,"36005NY11534","1/12/2025 11:00:00 PM",13.68,"Jan","2025","Mott Haven"
679103,"36005NY12387","1/13/2025 12:00:00 AM",13.9,"Jan","2025","Cross Bronx Expy"
679106,"36005NY11534","1/13/2025 12:00:00 AM",12.04,"Jan","2025","Mott Haven"
679124,"36005NY12387","1/13/2025 1:00:00 AM",13.9,"Jan","2025","Cross Bronx Expy"
679125,"36061NY08454","1/13/2025 1:00:00 AM",12.66,"Jan","2025","Manhattan Bridge"
679145,"36005NY12387","1/13/2025 2:00:00 AM",14.36,"Jan","2025","Cross Bronx Expy"
679146,"36061NY08454","1/13/2025 2:00:00 AM",13.01,"Jan","2025","Manhattan Bridge"
679148,"36005NY11534","1/13/2025 2:00:00 AM",12.25,"Jan","2025","Mott Haven"
679166,"36005NY12387","1/13/2025 3:00:00 AM",15.15,"Jan","2025","Cross Bronx Expy"
679167,"36061NY08454","1/13/2025 3:00:00 AM",12.7,"Jan","2025","Manhattan Bridge"
679169,"36005NY11534","1/13/2025 3:00:00 AM",12.91,"Jan","2025","Mott Haven"
679187,"36005NY12387","1/13/2025 4:00:00 AM",16.53,"Jan","2025","Cross Bronx Expy"
679188,"36061NY08454","1/13/2025 4:00:00 AM",13.37,"Jan","2025","Manhattan Bridge"
679190,"36005NY11534","1/13/2025 4:00:00 AM",13.34,"Jan","2025","Mott Haven"
679208,"36005NY12387","1/13/2025 5:00:00 AM",14.25,"Jan","2025","Cross Bronx Expy"
679209,"36061NY08454","1/13/2025 5:00:00 AM",13.51,"Jan","2025","Manhattan Bridge"
679211,"36005NY11534","1/13/2025 5:00:00 AM",12.49,"Jan","2025","Mott Haven"
679229,"36005NY12387","1/13/2025 6:00:00 AM",13.66,"Jan","2025","Cross Bronx Expy"
679230,"36061NY08454","1/13/2025 6:00:00 AM",12.37,"Jan","2025","Manhattan Bridge"
679250,"36005NY12387","1/13/2025 7:00:00 AM",12.02,"Jan","2025","Cross Bronx Expy"
679251,"36061NY08454","1/13/2025 7:00:00 AM",13.68,"Jan","2025","Manhattan Bridge"
679271,"36005NY12387","1/13/2025 8:00:00 AM",12.29,"Jan","2025","Cross Bronx Expy"
679272,"36061NY08454","1/13/2025 8:00:00 AM",13.74,"Jan","2025","Manhattan Bridge"
679292,"36005NY12387","1/13/2025 9:00:00 AM",13.97,"Jan","2025","Cross Bronx Expy"
679293,"36061NY08454","1/13/2025 9:00:00 AM",14.58,"Jan","2025","Manhattan Bridge"
679313,"36005NY12387","1/13/2025 10:00:00 AM",14.29,"Jan","2025","Cross Bronx Expy"
679314,"36061NY08454","1/13/2025 10:00:00 AM",16.33,"Jan","2025","Manhattan Bridge"
679316,"36005NY11534","1/13/2025 10:00:00 AM",12.04,"Jan","2025","Mott Haven"
679317,"36061NY08653","1/13/2025 10:00:00 AM",12.9,"Jan","2025","FDR"
679334,"36005NY12387","1/13/2025 11:00:00 AM",17.68,"Jan","2025","Cross Bronx Expy"
679335,"36061NY08454","1/13/2025 11:00:00 AM",15.95,"Jan","2025","Manhattan Bridge"
679337,"36005NY11534","1/13/2025 11:00:00 AM",12.6,"Jan","2025","Mott Haven"
679338,"36061NY08653","1/13/2025 11:00:00 AM",13.03,"Jan","2025","FDR"
679355,"36005NY12387","1/13/2025 12:00:00 PM",17.41,"Jan","2025","Cross Bronx Expy"
679356,"36061NY08454","1/13/2025 12:00:00 PM",16.63,"Jan","2025","Manhattan Bridge"
679357,"36061NY09734","1/13/2025 12:00:00 PM",12.48,"Jan","2025","Broadway/35th St"
679358,"36005NY11534","1/13/2025 12:00:00 PM",13.36,"Jan","2025","Mott Haven"
679359,"36061NY08653","1/13/2025 12:00:00 PM",13.62,"Jan","2025","FDR"
679382,"36005NY12387","1/13/2025 1:00:00 PM",18.68,"Jan","2025","Cross Bronx Expy"
679383,"36061NY08454","1/13/2025 1:00:00 PM",18.65,"Jan","2025","Manhattan Bridge"
679384,"36061NY09734","1/13/2025 1:00:00 PM",13.38,"Jan","2025","Broadway/35th St"
679385,"36005NY11534","1/13/2025 1:00:00 PM",14.76,"Jan","2025","Mott Haven"
679386,"36061NY08653","1/13/2025 1:00:00 PM",14.96,"Jan","2025","FDR"
679403,"36005NY12387","1/13/2025 2:00:00 PM",18.63,"Jan","2025","Cross Bronx Expy"
679404,"36061NY08454","1/13/2025 2:00:00 PM",18.67,"Jan","2025","Manhattan Bridge"
679405,"36061NY09734","1/13/2025 2:00:00 PM",13.88,"Jan","2025","Broadway/35th St"
679406,"36005NY11534","1/13/2025 2:00:00 PM",15.44,"Jan","2025","Mott Haven"
679407,"36061NY08653","1/13/2025 2:00:00 PM",16.08,"Jan","2025","FDR"
679424,"36005NY12387","1/13/2025 3:00:00 PM",18.27,"Jan","2025","Cross Bronx Expy"
679425,"36061NY08454","1/13/2025 3:00:00 PM",17.82,"Jan","2025","Manhattan Bridge"
679426,"36061NY09734","1/13/2025 3:00:00 PM",12.94,"Jan","2025","Broadway/35th St"
679427,"36005NY11534","1/13/2025 3:00:00 PM",13.49,"Jan","2025","Mott Haven"
679428,"36061NY08653","1/13/2025 3:00:00 PM",15.16,"Jan","2025","FDR"
679445,"36005NY12387","1/13/2025 4:00:00 PM",18.98,"Jan","2025","Cross Bronx Expy"
679446,"36061NY08454","1/13/2025 4:00:00 PM",16.11,"Jan","2025","Manhattan Bridge"
679447,"36061NY09734","1/13/2025 4:00:00 PM",13.02,"Jan","2025","Broadway/35th St"
679448,"36005NY11534","1/13/2025 4:00:00 PM",15.59,"Jan","2025","Mott Haven"
679466,"36005NY12387","1/13/2025 5:00:00 PM",17.74,"Jan","2025","Cross Bronx Expy"
679467,"36061NY08454","1/13/2025 5:00:00 PM",15.46,"Jan","2025","Manhattan Bridge"
679468,"36061NY09734","1/13/2025 5:00:00 PM",12.59,"Jan","2025","Broadway/35th St"
679469,"36005NY11534","1/13/2025 5:00:00 PM",14.64,"Jan","2025","Mott Haven"
679487,"36005NY12387","1/13/2025 6:00:00 PM",16.2,"Jan","2025","Cross Bronx Expy"
679488,"36061NY08454","1/13/2025 6:00:00 PM",14.63,"Jan","2025","Manhattan Bridge"
679490,"36005NY11534","1/13/2025 6:00:00 PM",12.81,"Jan","2025","Mott Haven"
679508,"36005NY12387","1/13/2025 7:00:00 PM",14.29,"Jan","2025","Cross Bronx Expy"
679509,"36061NY08454","1/13/2025 7:00:00 PM",12.87,"Jan","2025","Manhattan Bridge"
679530,"36061NY08454","1/13/2025 8:00:00 PM",12.03,"Jan","2025","Manhattan Bridge"
681058,"36061NY08454","1/16/2025 3:00:00 PM",12.47,"Jan","2025","Manhattan Bridge"
681065,"36005NY12387","1/16/2025 4:00:00 PM",13.02,"Jan","2025","Cross Bronx Expy"
681066,"36061NY08454","1/16/2025 4:00:00 PM",13.05,"Jan","2025","Manhattan Bridge"
681103,"36005NY12387","1/16/2025 5:00:00 PM",14.28,"Jan","2025","Cross Bronx Expy"
681104,"36061NY08454","1/16/2025 5:00:00 PM",12.2,"Jan","2025","Manhattan Bridge"
681292,"36005NY12387","1/17/2025 2:00:00 AM",13.71,"Jan","2025","Cross Bronx Expy"
681293,"36061NY08454","1/17/2025 2:00:00 AM",12.89,"Jan","2025","Manhattan Bridge"
681315,"36005NY12387","1/17/2025 3:00:00 AM",15.7,"Jan","2025","Cross Bronx Expy"
681316,"36061NY08454","1/17/2025 3:00:00 AM",14.16,"Jan","2025","Manhattan Bridge"
681317,"36061NY09734","1/17/2025 3:00:00 AM",12.13,"Jan","2025","Broadway/35th St"
681318,"36005NY11534","1/17/2025 3:00:00 AM",13.08,"Jan","2025","Mott Haven"
681337,"36005NY12387","1/17/2025 4:00:00 AM",18.35,"Jan","2025","Cross Bronx Expy"
