"ID","SiteID","ObservationTimeUTC","Value","Month","Year","SiteName"
672827,"36005NY12387","1/1/2025 12:00:00 AM",6.62,"Jan","2025","Cross Bronx Expy"
672828,"36061NY08454","1/1/2025 12:00:00 AM",6.32,"Jan","2025","Manhattan Bridge"
672829,"36061NY09734","1/1/2025 12:00:00 AM",10.32,"Jan","2025","Broadway/35th St"
672830,"36005NY11534","1/1/2025 12:00:00 AM",12,"Jan","2025","Mott Haven"
672831,"36061NY08653","1/1/2025 12:00:00 AM",5.75,"Jan","2025","FDR"
672849,"36005NY12387","1/1/2025 1:00:00 AM",6.33,"Jan","2025","Cross Bronx Expy"
672850,"36061NY08454","1/1/2025 1:00:00 AM",7.47,"Jan","2025","Manhattan Bridge"
672851,"36061NY09734","1/1/2025 1:00:00 AM",9.32,"Jan","2025","Broadway/35th St"
672852,"36005NY11534","1/1/2025 1:00:00 AM",5.76,"Jan","2025","Mott Haven"
672853,"36061NY08653","1/1/2025 1:00:00 AM",5.93,"Jan","2025","FDR"
672871,"36005NY12387","1/1/2025 2:00:00 AM",6.13,"Jan","2025","Cross Bronx Expy"
672872,"36061NY08454","1/1/2025 2:00:00 AM",6.9,"Jan","2025","Manhattan Bridge"
672873,"36061NY09734","1/1/2025 2:00:00 AM",8.47,"Jan","2025","Broadway/35th St"
672874,"36005NY11534","1/1/2025 2:00:00 AM",5.42,"Jan","2025","Mott Haven"
672875,"36061NY08653","1/1/2025 2:00:00 AM",5.84,"Jan","2025","FDR"
672893,"36005NY12387","1/1/2025 3:00:00 AM",5.26,"Jan","2025","Cross Bronx Expy"
672894,"36061NY08454","1/1/2025 3:00:00 AM",6.83,"Jan","2025","Manhattan Bridge"
672895,"36061NY09734","1/1/2025 3:00:00 AM",8.23,"Jan","2025","Broadway/35th St"
672896,"36005NY11534","1/1/2025 3:00:00 AM",4.68,"Jan","2025","Mott Haven"
672897,"36061NY08653","1/1/2025 3:00:00 AM",6.51,"Jan","2025","FDR"
672915,"36005NY12387","1/1/2025 4:00:00 AM",5.58,"Jan","2025","Cross Bronx Expy"
672916,"36061NY08454","1/1/2025 4:00:00 AM",6.83,"Jan","2025","Manhattan Bridge"
672917,"36061NY09734","1/1/2025 4:00:00 AM",7.11,"Jan","2025","Broadway/35th St"
672918,"36005NY11534","1/1/2025 4:00:00 AM",5.35,"Jan","2025","Mott Haven"
672919,"36061NY08653","1/1/2025 4:00:00 AM",6.44,"Jan","2025","FDR"
672937,"36005NY12387","1/1/2025 5:00:00 AM",8.37,"Jan","2025","Cross Bronx Expy"
672938,"36061NY08454","1/1/2025 5:00:00 AM",8.21,"Jan","2025","Manhattan Bridge"
672939,"36061NY09734","1/1/2025 5:00:00 AM",8.31,"Jan","2025","Broadway/35th St"
672940,"36005NY11534","1/1/2025 5:00:00 AM",8.26,"Jan","2025","Mott Haven"
672941,"36061NY08653","1/1/2025 5:00:00 AM",7.31,"Jan","2025","FDR"
672959,"36005NY12387","1/1/2025 6:00:00 AM",5.93,"Jan","2025","Cross Bronx Expy"
672960,"36061NY08454","1/1/2025 6:00:00 AM",8.77,"Jan","2025","Manhattan Bridge"
672961,"36061NY09734","1/1/2025 6:00:00 AM",9.38,"Jan","2025","Broadway/35th St"
672962,"36005NY11534","1/1/2025 6:00:00 AM",6.6,"Jan","2025","Mott Haven"
672976,"36061NY08653","1/1/2025 6:00:00 AM",6.42,"Jan","2025","FDR"
672981,"36005NY12387","1/1/2025 7:00:00 AM",7.59,"Jan","2025","Cross Bronx Expy"
672982,"36061NY08454","1/1/2025 7:00:00 AM",11.39,"Jan","2025","Manhattan Bridge"
672983,"36061NY09734","1/1/2025 7:00:00 AM",10.6,"Jan","2025","Broadway/35th St"
672984,"36005NY11534","1/1/2025 7:00:00 AM",9.34,"Jan","2025","Mott Haven"
672985,"36061NY08653","1/1/2025 7:00:00 AM",7.29,"Jan","2025","FDR"
673003,"36005NY12387","1/1/2025 8:00:00 AM",12.84,"Jan","2025","Cross Bronx Expy"
673004,"36061NY08454","1/1/2025 8:00:00 AM",11.46,"Jan","2025","Manhattan Bridge"
673005,"36061NY09734","1/1/2025 8:00:00 AM",10.71,"Jan","2025","Broadway/35th St"
673006,"36005NY11534","1/1/2025 8:00:00 AM",10.48,"Jan","2025","Mott Haven"
673007,"36061NY08653","1/1/2025 8:00:00 AM",9.89,"Jan","2025","FDR"
673025,"36005NY12387","1/1/2025 9:00:00 AM",16.97,"Jan","2025","Cross Bronx Expy"
673026,"36061NY08454","1/1/2025 9:00:00 AM",12.48,"Jan","2025","Manhattan Bridge"
673027,"36061NY09734","1/1/2025 9:00:00 AM",11.51,"Jan","2025","Broadway/35th St"
673028,"36005NY11534","1/1/2025 9:00:00 AM",14.26,"Jan","2025","Mott Haven"
673042,"36061NY08653","1/1/2025 9:00:00 AM",10.55,"Jan","2025","FDR"
673047,"36005NY12387","1/1/2025 10:00:00 AM",16.3,"Jan","2025","Cross Bronx Expy"
673048,"36061NY08454","1/1/2025 10:00:00 AM",14.85,"Jan","2025","Manhattan Bridge"
673049,"36061NY09734","1/1/2025 10:00:00 AM",11.94,"Jan","2025","Broadway/35th St"
673050,"36005NY11534","1/1/2025 10:00:00 AM",16.17,"Jan","2025","Mott Haven"
673051,"36061NY08653","1/1/2025 10:00:00 AM",10.8,"Jan","2025","FDR"
673069,"36005NY12387","1/1/2025 11:00:00 AM",13.45,"Jan","2025","Cross Bronx Expy"
673070,"36061NY08454","1/1/2025 11:00:00 AM",12.74,"Jan","2025","Manhattan Bridge"
673071,"36061NY09734","1/1/2025 11:00:00 AM",10.69,"Jan","2025","Broadway/35th St"
673072,"36005NY11534","1/1/2025 11:00:00 AM",12.31,"Jan","2025","Mott Haven"
673073,"36061NY08653","1/1/2025 11:00:00 AM",9.68,"Jan","2025","FDR"
673091,"36005NY12387","1/1/2025 12:00:00 PM",11.34,"Jan","2025","Cross Bronx Expy"
673092,"36061NY08454","1/1/2025 12:00:00 PM",11.68,"Jan","2025","Manhattan Bridge"
673093,"36061NY09734","1/1/2025 12:00:00 PM",9.06,"Jan","2025","Broadway/35th St"
673094,"36005NY11534","1/1/2025 12:00:00 PM",10.87,"Jan","2025","Mott Haven"
673095,"36061NY08653","1/1/2025 12:00:00 PM",9.59,"Jan","2025","FDR"
673113,"36005NY12387","1/1/2025 1:00:00 PM",10.96,"Jan","2025","Cross Bronx Expy"
673114,"36061NY08454","1/1/2025 1:00:00 PM",11.36,"Jan","2025","Manhattan Bridge"
